date,delinquency_rate_change_bps
2025-04-24,-0.2686
2025-04-25,0.4828
2025-04-28,0.3679
2025-04-29,0.0463
2025-04-30,-0.3619
2025-05-01,-0.4421
2025-05-02,-0.0582
2025-05-05,0.1915
2025-05-06,0.0532
2025-05-07,0.0485
2025-05-08,-0.0615
2025-05-09,-0.3704
2025-05-12,0.1608
2025-05-13,0.2115
2025-05-14,0.874
2025-05-15,0.3151
2025-05-16,0.1541
2025-05-19,0.3604
2025-05-20,0.1499
2025-05-21,-0.3234
2025-05-22,-0.4851
2025-05-23,-0.2706
2025-05-26,-0.0647
2025-05-27,-0.0685
2025-05-28,0.2586
2025-05-29,0.4581
2025-05-30,0.3809
2025-06-02,0.2442
2025-06-03,0.0755
2025-06-04,0.2121
2025-06-05,0.4074
2025-06-06,0.2708
2025-06-09,0.3029
2025-06-10,0.0905
2025-06-11,-0.3674
2025-06-12,-0.528
2025-06-13,-0.0977
2025-06-16,0.0736
2025-06-17,0.5227
2025-06-18,0.3409
2025-06-19,0.4708
2025-06-20,0.6888
2025-06-23,0.7254
2025-06-24,0.2672
2025-06-25,0.1103
2025-06-26,0.1073
2025-06-27,-0.2292
2025-06-30,0.0002
2025-07-01,0.3073
2025-07-02,0.0463
2025-07-03,0.6205
2025-07-04,0.2975
2025-07-07,0.1235
2025-07-08,0.0051
2025-07-09,-0.2093
2025-07-10,-0.0044
2025-07-11,0.0033
2025-07-14,0.5004
2025-07-15,0.4925
2025-07-16,0.4666
2025-07-17,0.2229
2025-07-18,-0.2861
2025-07-21,-0.2042
2025-07-22,-0.3817
2025-07-23,0.0489
2025-07-24,0.0212
2025-07-25,0.5129
2025-07-28,0.5386
2025-07-29,0.5846
2025-07-30,0.4316
2025-07-31,0.3302
2025-08-01,0.4007
2025-08-04,0.5252
2025-08-05,0.1125
2025-08-06,0.2174
2025-08-07,0.9211
2025-08-08,0.5442
2025-08-11,0.2607
2025-08-12,-0.0461
2025-08-13,-0.4631
2025-08-14,0.0695
2025-08-15,0.0614
2025-08-18,0.128
2025-08-19,0.6328
2025-08-20,1.1451
2025-08-21,0.4434
2025-08-22,0.5913
2025-08-25,0.5537
2025-08-26,0.4632
2025-08-27,0.4312
2025-08-28,0.2609
2025-08-29,0.6391
2025-09-01,0.5813
2025-09-02,0.4645
2025-09-03,0.6628
2025-09-04,0.6807
2025-09-05,0.5608
2025-09-08,0.4466
2025-09-09,0.8044
2025-09-10,0.6524
2025-09-11,0.3784
2025-09-12,-0.0217
2025-09-15,-0.1158
2025-09-16,-0.3859
2025-09-17,-0.2061
2025-09-18,-0.0498
2025-09-19,-0.6453
2025-09-22,-0.3937
2025-09-23,-0.0485
2025-09-24,0.0207
2025-09-25,-0.2728
2025-09-26,0.2123
2025-09-29,-0.0765
2025-09-30,-0.4151
2025-10-01,-0.5808
2025-10-02,-0.3637
2025-10-03,0.0701
2025-10-06,0.3939
2025-10-07,0.3078
2025-10-08,-0.1666
2025-10-09,-0.2997
2025-10-10,-0.4545
2025-10-13,-0.3348
2025-10-14,-0.7393
2025-10-15,-0.4245
2025-10-16,-0.0692
2025-10-17,-0.0872
2025-10-20,0.0843
2025-10-21,-0.2289
2025-10-22,-0.578
2025-10-23,-0.5492
2025-10-24,0.0069
2025-10-27,0.3136
2025-10-28,0.0576
2025-10-29,0.3971
2025-10-30,0.149
2025-10-31,0.5462
2025-11-03,0.4836
2025-11-04,0.1645
2025-11-05,0.3408
2025-11-06,-0.021
2025-11-07,-0.2936
2025-11-10,-0.6172
2025-11-11,-0.3051
2025-11-12,-0.2051
2025-11-13,-0.1503
2025-11-14,-0.2161
2025-11-17,0.2974
2025-11-18,0.0573
2025-11-19,-0.1815
2025-11-20,0.2613
2025-11-21,0.5884
2025-11-24,0.4665
2025-11-25,-0.2328
2025-11-26,-0.3243
2025-11-27,-0.0172
2025-11-28,-0.0053
2025-12-01,0.4629
2025-12-02,-0.1231
2025-12-03,0.1272
2025-12-04,-0.1092
2025-12-05,0.3292
2025-12-08,0.1816
2025-12-09,0.4218
2025-12-10,0.0672
2025-12-11,-0.3812
2025-12-12,-0.5694
2025-12-15,-0.5351
2025-12-16,-0.6392
2025-12-17,-0.0362
2025-12-18,0.3793
2025-12-19,0.3171
2025-12-22,-0.1137
2025-12-23,-0.106
2025-12-24,-0.2715
2025-12-25,0.2679
2025-12-26,0.2609
2025-12-29,0.3086
2025-12-30,0.0714
2025-12-31,-0.5591
2026-01-01,-0.578
2026-01-02,-0.6933
2026-01-05,-0.3188
2026-01-06,-0.1687
2026-01-07,-0.3451
2026-01-08,-0.3305
2026-01-09,0.265
2026-01-12,-0.1235
2026-01-13,4.3765
2026-01-14,2.438
2026-01-15,1.4431
2026-01-16,0.685
2026-01-19,0.2961
2026-01-20,0.343
2026-01-21,0.7323
2026-01-22,-0.0798
2026-01-23,-0.055
2026-01-26,-0.0216
2026-01-27,-0.0386
2026-01-28,-0.0801
2026-01-29,-0.1518
2026-01-30,0.2072
2026-02-02,-0.0111
2026-02-03,-0.0451
2026-02-04,-0.028
2026-02-05,0.0149
2026-02-06,-0.042
2026-02-09,0.2737
2026-02-10,0.1671
2026-02-11,0.1558
2026-02-12,0.0812
2026-02-13,-0.2506
2026-02-16,-0.4043
2026-02-17,-0.5657
2026-02-18,-0.2929
2026-02-19,-0.3957
2026-02-20,-0.5637
2026-02-23,-0.2781
2026-02-24,-0.0149
2026-02-25,-0.5375
2026-02-26,0.1737
2026-02-27,0.1174
2026-03-02,0.0412
2026-03-03,0.3456
2026-03-04,0.2352
2026-03-05,-0.0353
2026-03-06,0.6365
2026-03-09,0.0723
2026-03-10,0.0155
2026-03-11,0.2638
2026-03-12,-0.1573
2026-03-13,-0.1282
2026-03-16,0.0365
2026-03-17,0.7431
2026-03-18,0.1929
2026-03-19,0.1053
2026-03-20,0.2629
2026-03-23,0.1873
2026-03-24,-0.2447
2026-03-25,-0.0293
2026-03-26,0.0141
2026-03-27,0.1424
2026-03-30,0.4277
2026-03-31,0.5692
2026-04-01,0.4752
2026-04-02,0.3878
2026-04-03,-0.0891
2026-04-06,-0.0955
2026-04-07,0.0069
2026-04-08,-0.116
2026-04-09,-0.0427
2026-04-10,-0.2741
2026-04-13,0.2904
2026-04-14,0.8257
2026-04-15,0.395
2026-04-16,0.365
2026-04-17,0.1561
2026-04-20,0.4756
2026-04-21,0.4254
2026-04-22,0.2869
2026-04-23,0.1108
2026-04-24,0.1065
2026-04-27,-0.2341
2026-04-28,0.0575
2026-04-29,-0.1785
2026-04-30,0.0498
2026-05-01,0.0698
2026-05-04,0.3717
2026-05-05,0.2254
2026-05-06,0.4467
2026-05-07,0.0002
2026-05-08,0.183
2026-05-11,0.0462
2026-05-12,0.0869
2026-05-13,0.0754
2026-05-14,0.3276
2026-05-15,-0.4027
2026-05-18,-0.1528
2026-05-19,0.0
2026-05-20,-0.4483
2026-05-21,0.0841
2026-05-22,-0.5397
2026-05-25,-0.6357
2026-05-26,-0.8963
2026-05-27,-0.064
2026-05-28,-0.4264
2026-05-29,-0.2302
2026-06-01,-0.3034
2026-06-02,-0.7281
2026-06-03,-0.5526
2026-06-04,-0.1438
2026-06-05,-0.1444
2026-06-08,0.1928
2026-06-09,0.0109
2026-06-10,0.0088
2026-06-11,-0.11
2026-06-12,0.0349
2026-06-15,0.5913
2026-06-16,0.4753
2026-06-17,0.353
2026-06-18,0.0333
2026-06-19,-0.206
2026-06-22,0.3115
2026-06-23,-0.1405
2026-06-24,-0.3611
2026-06-25,-0.2531
2026-06-26,-0.2848
2026-06-29,0.4103
2026-06-30,-0.4555
2026-07-01,-0.174
2026-07-02,0.1059
2026-07-03,-0.2705
2026-07-06,-0.3611
2026-07-07,-0.0941
2026-07-08,0.4305
2026-07-09,-0.0092
2026-07-10,-0.4795
2026-07-13,-0.0055
2026-07-14,0.4537
2026-07-15,0.1808
2026-07-16,-0.5521
2026-07-17,0.0933
2026-07-20,-0.0017
2026-07-21,0.3361
2026-07-22,0.1953
2026-07-23,0.0084
2026-07-24,-0.1304
2026-07-27,0.3612
2026-07-28,0.6543
2026-07-29,-0.2357
2026-07-30,-0.427
2026-07-31,0.2684
2026-08-03,0.0562
2026-08-04,-0.3733
2026-08-05,-0.2301
2026-08-06,-0.1752
2026-08-07,-0.1378
2026-08-10,-0.2293
2026-08-11,-0.2352
2026-08-12,-0.2826
2026-08-13,-0.075
2026-08-14,-0.2903
2026-08-17,-0.2669
2026-08-18,-0.2087
2026-08-19,0.2623
2026-08-20,0.2747
2026-08-21,0.1374
2026-08-24,0.246
2026-08-25,0.2744
2026-08-26,0.4965
2026-08-27,0.4598
2026-08-28,0.8232
2026-08-31,0.9138
2026-09-01,0.5542
2026-09-02,0.2193
2026-09-03,0.4007
2026-09-04,0.4034
2026-09-07,0.2218
2026-09-08,-0.3056
2026-09-09,-0.7392
2026-09-10,-0.3538
2026-09-11,0.0119
2026-09-14,0.2484
2026-09-15,-0.2321
2026-09-16,0.1673
2026-09-17,-0.0565
2026-09-18,0.0815
2026-09-21,0.1755
2026-09-22,-0.1319
2026-09-23,-0.2592
2026-09-24,-0.7826
2026-09-25,-0.7602
2026-09-28,-1.0121
2026-09-29,-0.4963
2026-09-30,-0.2893
2026-10-01,0.0949
2026-10-02,0.1658
2026-10-05,-0.0876
2026-10-06,0.0495
2026-10-07,-0.0864
2026-10-08,0.1291
2026-10-09,0.1747
2026-10-12,-0.1883
2026-10-13,-0.1161
2026-10-14,-0.0554
2026-10-15,-0.1266
2026-10-16,0.19
2026-10-19,0.6317
2026-10-20,0.2813
2026-10-21,0.0692
2026-10-22,-0.6315
2026-10-23,-0.4302
2026-10-26,-0.3976
2026-10-27,-0.8949
2026-10-28,-0.4683
2026-10-29,-0.113
2026-10-30,-0.2903
2026-11-02,-0.2918
2026-11-03,-0.4708
2026-11-04,-0.0632
2026-11-05,-0.4944
2026-11-06,-0.4005
2026-11-09,0.337
2026-11-10,0.2244
2026-11-11,0.2795
2026-11-12,0.1293
2026-11-13,-0.2722
2026-11-16,-0.1785
2026-11-17,0.0112
2026-11-18,-0.2998
2026-11-19,-0.0834
2026-11-20,0.3218
2026-11-23,0.5204
2026-11-24,-0.1522
2026-11-25,-0.3869
2026-11-26,-0.724
2026-11-27,-0.1275
2026-11-30,0.104
2026-12-01,0.2754
2026-12-02,-0.0927
2026-12-03,-0.4075
2026-12-04,-0.2296
2026-12-07,-0.112
2026-12-08,-0.3257
2026-12-09,-0.1593
2026-12-10,0.0946
2026-12-11,0.1271
2026-12-14,-0.233
2026-12-15,-0.7783
2026-12-16,-0.5602
2026-12-17,-0.298
2026-12-18,-0.2628
2026-12-21,-0.2914
2026-12-22,-0.3881
2026-12-23,-0.0259
2026-12-24,-0.0318
2026-12-25,0.0173
2026-12-28,-0.2808
2026-12-29,-0.3602
2026-12-30,-0.1742
2026-12-31,-0.4096
2027-01-01,-0.6318
2027-01-04,-0.4904
2027-01-05,0.0562
2027-01-06,0.0921
2027-01-07,0.495
2027-01-08,0.2674
2027-01-11,0.0728
2027-01-12,-0.3725
2027-01-13,-0.4038
2027-01-14,0.1802
2027-01-15,0.21
2027-01-18,0.3501
2027-01-19,0.4286
2027-01-20,0.2629
2027-01-21,0.1015
2027-01-22,0.0987
2027-01-25,0.2626
2027-01-26,0.3002
2027-01-27,0.3337
2027-01-28,0.2531
2027-01-29,-0.074
2027-02-01,-0.1244
2027-02-02,-0.3596
2027-02-03,0.0785
2027-02-04,-0.582
2027-02-05,-0.4262
2027-02-08,0.4519
2027-02-09,0.1777
2027-02-10,-0.2302
2027-02-11,-0.1481
2027-02-12,0.295
2027-02-15,0.1347
2027-02-16,0.2675
2027-02-17,0.1959
2027-02-18,0.0096
2027-02-19,0.951
2027-02-22,0.611
2027-02-23,0.2177
2027-02-24,-0.012
2027-02-25,0.1067
2027-02-26,0.1889
2027-03-01,0.3487
2027-03-02,0.2586
2027-03-03,-0.2692
2027-03-04,-0.0073
2027-03-05,-0.0972
2027-03-08,-0.1461
2027-03-09,-0.5355
2027-03-10,-0.504
2027-03-11,-0.5306
2027-03-12,-0.3399
2027-03-15,-0.6468
2027-03-16,-0.3858
2027-03-17,-0.2019
2027-03-18,-0.4611
2027-03-19,-0.4733
2027-03-22,-0.5507
2027-03-23,3.9493
2027-03-24,2.7209
2027-03-25,0.9284
2027-03-26,0.4726
2027-03-29,-0.2051
2027-03-30,-0.2567
2027-03-31,0.0949
2027-04-01,-0.1304
2027-04-02,-0.0393
2027-04-05,-0.2778
2027-04-06,0.4096
2027-04-07,0.5279
2027-04-08,0.6655
2027-04-09,0.0141
2027-04-12,-0.3216
2027-04-13,0.1246
2027-04-14,0.0189
2027-04-15,-0.0656
2027-04-16,0.0594
2027-04-19,-0.3397
2027-04-20,0.0212
2027-04-21,0.0187
2027-04-22,0.1553
2027-04-23,-0.1049
2027-04-26,0.0889
2027-04-27,-0.1563
2027-04-28,0.1894
2027-04-29,0.4563
2027-04-30,0.5565
2027-05-03,0.5
2027-05-04,0.5001
2027-05-05,-0.5017
2027-05-06,-0.0606
2027-05-07,-0.1198
2027-05-10,-0.0458
2027-05-11,-0.1135
2027-05-12,-0.4877
2027-05-13,-0.464
2027-05-14,-0.0901
2027-05-17,0.3693
2027-05-18,0.0421
2027-05-19,-0.2451
2027-05-20,0.2836
2027-05-21,-0.089
2027-05-24,0.5669
2027-05-25,0.3667
2027-05-26,-0.0377
2027-05-27,0.2719
2027-05-28,0.6766
2027-05-31,-0.0109
2027-06-01,0.4609
2027-06-02,0.2013
2027-06-03,0.5707
2027-06-04,0.2397
2027-06-07,-0.3245
2027-06-08,-0.0506
2027-06-09,0.2466
2027-06-10,0.7817
2027-06-11,1.0017
2027-06-14,0.8296
2027-06-15,0.4431
2027-06-16,0.1185
2027-06-17,-0.015
2027-06-18,-0.2586
2027-06-21,-0.2427
2027-06-22,-0.9138
2027-06-23,-0.5129
2027-06-24,-0.3267
2027-06-25,0.5672
2027-06-28,0.5793
2027-06-29,0.2151
2027-06-30,0.3028
2027-07-01,-0.18
2027-07-02,-0.2924
2027-07-05,-0.7416
2027-07-06,-0.0289
2027-07-07,0.1601
2027-07-08,-0.2534
2027-07-09,-0.1753
2027-07-12,0.1763
2027-07-13,0.2578
2027-07-14,0.2745
2027-07-15,-0.0871
2027-07-16,-0.2452
2027-07-19,-0.1235
2027-07-20,0.1995
2027-07-21,-0.125
2027-07-22,-0.4139
2027-07-23,0.0866
2027-07-26,-0.2254
2027-07-27,0.0
2027-07-28,0.3231
2027-07-29,0.2733
2027-07-30,0.4337
2027-08-02,0.7922
2027-08-03,0.6978
2027-08-04,0.6654
2027-08-05,0.1372
2027-08-06,-0.1235
2027-08-09,0.1166
2027-08-10,0.5326
2027-08-11,0.7478
2027-08-12,1.1587
2027-08-13,0.8116
2027-08-16,0.564
2027-08-17,0.6516
2027-08-18,0.4096
2027-08-19,0.2352
2027-08-20,-0.1684
2027-08-23,0.193
2027-08-24,-0.2019
2027-08-25,0.0285
2027-08-26,-0.4081
2027-08-27,0.0759
2027-08-30,-0.2616
2027-08-31,0.0909
2027-09-01,-0.4205
2027-09-02,-0.3926
2027-09-03,0.1101
2027-09-06,-0.1734
2027-09-07,-0.0873
2027-09-08,-0.1977
2027-09-09,-0.8154
2027-09-10,-0.4131
2027-09-13,-0.1265
2027-09-14,-0.4107
2027-09-15,-0.0826
2027-09-16,-0.2899
2027-09-17,-0.4808
2027-09-20,-0.296
2027-09-21,-0.388
2027-09-22,0.4472
2027-09-23,-0.1892
2027-09-24,0.1042
2027-09-27,0.3613
2027-09-28,-0.3698
2027-09-29,-0.749
2027-09-30,-0.2957
2027-10-01,-0.3278
2027-10-04,-0.0881
2027-10-05,0.2872
2027-10-06,0.0664
2027-10-07,-0.278
2027-10-08,-0.9912
2027-10-11,-0.5532
2027-10-12,-0.6215
2027-10-13,-0.2913
2027-10-14,-0.1111
2027-10-15,-0.4843
2027-10-18,0.2169
2027-10-19,0.4595
2027-10-20,0.5394
2027-10-21,-0.0209
2027-10-22,-0.1352
2027-10-25,-0.2479
2027-10-26,-0.2781
2027-10-27,-0.5097
2027-10-28,-0.1856
2027-10-29,-0.0463
2027-11-01,0.0809
2027-11-02,-0.1016
2027-11-03,0.3243
2027-11-04,0.2574
2027-11-05,-0.6618
2027-11-08,-0.6023
2027-11-09,-0.3905
2027-11-10,0.0475
2027-11-11,-0.0608
2027-11-12,-0.1127
2027-11-15,-0.2687
2027-11-16,0.0331
2027-11-17,-0.1138
2027-11-18,-0.2516
2027-11-19,-0.3786
2027-11-22,-0.0678
2027-11-23,-0.2019
2027-11-24,-0.628
2027-11-25,-0.2025
2027-11-26,-0.336
2027-11-29,-0.1012
2027-11-30,0.0494
2027-12-01,0.3917
2027-12-02,0.5562
2027-12-03,0.1723
2027-12-06,0.0569
2027-12-07,-0.3518
2027-12-08,0.2851
2027-12-09,0.3092
2027-12-10,0.61
2027-12-13,0.2825
2027-12-14,-0.4396
2027-12-15,0.187
2027-12-16,0.1439
2027-12-17,0.1291
2027-12-20,0.0967
2027-12-21,0.2534
2027-12-22,0.317
2027-12-23,-0.2806
2027-12-24,0.1521
2027-12-27,-0.0644
2027-12-28,-0.18
2027-12-29,0.4066
2027-12-30,0.5283
2027-12-31,0.2261
2028-01-03,-0.4168
2028-01-04,-0.2099
2028-01-05,0.0315
2028-01-06,-0.0047
2028-01-07,-0.3767
2028-01-10,-0.4708
2028-01-11,-0.6684
2028-01-12,-0.3498
2028-01-13,0.0289
2028-01-14,0.3256
2028-01-17,-0.0178
2028-01-18,0.0595
2028-01-19,0.2031
2028-01-20,-0.0274
2028-01-21,-0.0616
2028-01-24,0.599
2028-01-25,0.4329
2028-01-26,0.5333
2028-01-27,0.2002
2028-01-28,0.1366
2028-01-31,-0.4296
2028-02-01,-0.2739
2028-02-02,0.1879
2028-02-03,0.7462
2028-02-04,0.8216
2028-02-07,0.7155
2028-02-08,0.4595
2028-02-09,0.1049
2028-02-10,0.0169
2028-02-11,0.1944
2028-02-14,-0.115
2028-02-15,0.2086
2028-02-16,-0.1659
2028-02-17,-0.6366
2028-02-18,-0.6983
2028-02-21,-0.9326
2028-02-22,-0.9899
2028-02-23,-0.2741
2028-02-24,-0.23
2028-02-25,-0.077
2028-02-28,0.2997
2028-02-29,0.5635
2028-03-01,0.198
2028-03-02,0.5213
2028-03-03,0.4386
2028-03-06,0.2729
2028-03-07,0.3018
2028-03-08,-0.2405
2028-03-09,-0.385
2028-03-10,-0.2711
2028-03-13,0.0148
2028-03-14,-0.1024
2028-03-15,-0.1017
2028-03-16,0.2278
2028-03-17,0.5647
2028-03-20,0.5803
2028-03-21,0.7403
2028-03-22,0.3377
2028-03-23,0.1174
2028-03-24,0.1683
2028-03-27,0.014
2028-03-28,-0.1434
2028-03-29,0.4067
2028-03-30,0.1918
2028-03-31,-0.1709
2028-04-03,0.0403
2028-04-04,0.5757
2028-04-05,0.3812
2028-04-06,0.6057
2028-04-07,0.2442
2028-04-10,0.004
2028-04-11,-0.2045
2028-04-12,-0.1698
2028-04-13,0.4456
2028-04-14,-0.0704
2028-04-17,0.4476
2028-04-18,-0.0251
2028-04-19,-0.0857
2028-04-20,0.1976
2028-04-21,0.3116
2028-04-24,0.2778
2028-04-25,-0.3226
2028-04-26,-0.0913
2028-04-27,-0.3633
