date,energy_cost_index
2024-08-09,0.094
2024-08-12,-0.1935
2024-08-13,-0.0882
2024-08-14,-0.6463
2024-08-15,-0.7916
2024-08-16,-0.1083
2024-08-19,-0.2266
2024-08-20,0.0216
2024-08-21,0.4492
2024-08-22,0.4584
2024-08-23,0.2366
2024-08-26,0.8841
2024-08-27,0.6823
2024-08-28,0.2136
2024-08-29,0.3702
2024-08-30,0.3319
2024-09-02,-0.142
2024-09-03,-0.0448
2024-09-04,-0.0818
2024-09-05,-0.7484
2024-09-06,-0.4362
2024-09-09,-0.32
2024-09-10,-0.3177
2024-09-11,-0.7507
2024-09-12,-0.503
2024-09-13,-0.2658
2024-09-16,-0.0962
2024-09-17,-0.4567
2024-09-18,-0.0008
2024-09-19,-0.4378
2024-09-20,-0.2994
2024-09-23,0.3199
2024-09-24,-0.0892
2024-09-25,-0.2283
2024-09-26,0.272
2024-09-27,-0.0021
2024-09-30,-0.1079
2024-10-01,0.0256
2024-10-02,0.3903
2024-10-03,-0.5975
2024-10-04,-0.5967
2024-10-07,-0.6605
2024-10-08,3.3395
2024-10-09,1.2797
2024-10-10,0.3326
2024-10-11,-0.1352
2024-10-14,0.0406
2024-10-15,-0.2989
2024-10-16,-0.1055
2024-10-17,0.0912
2024-10-18,-0.2162
2024-10-21,-0.0612
2024-10-22,0.5565
2024-10-23,0.3938
2024-10-24,-0.0317
2024-10-25,-0.0391
2024-10-28,-0.3478
2024-10-29,-0.0769
2024-10-30,0.2704
2024-10-31,-0.1581
2024-11-01,-0.1539
2024-11-04,0.3211
2024-11-05,-0.0174
2024-11-06,0.0585
2024-11-07,-0.3369
2024-11-08,-0.4613
2024-11-11,-0.4139
2024-11-12,0.5548
2024-11-13,0.1342
2024-11-14,-0.1184
2024-11-15,-0.2563
2024-11-18,-0.1861
2024-11-19,0.1365
2024-11-20,0.1346
2024-11-21,0.7875
2024-11-22,0.4686
2024-11-25,0.7409
2024-11-26,0.4673
2024-11-27,0.4456
2024-11-28,-0.2825
2024-11-29,-0.1857
2024-12-02,-0.117
2024-12-03,-0.1435
2024-12-04,-0.8253
2024-12-05,-0.1044
2024-12-06,-0.1877
2024-12-09,-0.2472
2024-12-10,-0.2129
2024-12-11,-0.1863
2024-12-12,0.0493
2024-12-13,-0.4202
2024-12-16,-0.536
2024-12-17,-0.1663
2024-12-18,-0.0322
2024-12-19,-0.1479
2024-12-20,-0.2748
2024-12-23,-0.4295
2024-12-24,-0.2352
2024-12-25,0.2957
2024-12-26,-0.2225
2024-12-27,0.4219
2024-12-30,0.5064
2024-12-31,0.0946
2025-01-01,0.3214
2025-01-02,-0.3524
2025-01-03,-0.7822
2025-01-06,-0.8425
2025-01-07,-0.5647
2025-01-08,-0.3962
2025-01-09,-0.3784
2025-01-10,-0.1544
2025-01-13,-0.8245
2025-01-14,-0.2389
2025-01-15,-0.6162
2025-01-16,-0.5394
2025-01-17,-0.4142
2025-01-20,-0.6118
2025-01-21,-0.7857
2025-01-22,-0.745
2025-01-23,-0.3767
2025-01-24,0.0182
2025-01-27,0.2066
