date,inventory_cost_index
2024-05-01,-0.1461
2024-05-02,-0.1889
2024-05-03,-0.0279
2024-05-06,0.1752
2024-05-07,0.4598
2024-05-08,0.6396
2024-05-09,0.7394
2024-05-10,0.8522
2024-05-13,0.7097
2024-05-14,-0.0334
2024-05-15,-0.0593
2024-05-16,0.0586
2024-05-17,-0.0798
2024-05-20,0.2255
2024-05-21,0.0272
2024-05-22,-0.2614
2024-05-23,0.2765
2024-05-24,0.3657
2024-05-27,0.2852
2024-05-28,0.4491
2024-05-29,0.5882
2024-05-30,0.4553
2024-05-31,-0.4641
2024-06-03,-0.4812
2024-06-04,-0.4257
2024-06-05,-0.5507
2024-06-06,-0.2708
2024-06-07,0.1952
2024-06-10,-0.0284
2024-06-11,-0.3575
2024-06-12,0.3939
2024-06-13,0.1009
2024-06-14,-0.3093
2024-06-17,-0.1143
2024-06-18,0.0591
2024-06-19,-0.176
2024-06-20,0.1315
2024-06-21,-0.0673
2024-06-24,-0.3173
2024-06-25,-0.1368
2024-06-26,0.1492
2024-06-27,-0.1007
2024-06-28,0.0388
2024-07-01,-0.0048
2024-07-02,0.8445
2024-07-03,0.2941
2024-07-04,0.5917
2024-07-05,0.3393
2024-07-08,0.1656
2024-07-09,0.3158
2024-07-10,0.4577
2024-07-11,0.6547
2024-07-12,0.4914
2024-07-15,0.1147
2024-07-16,-0.0925
2024-07-17,0.0974
2024-07-18,0.2327
2024-07-19,0.5591
2024-07-22,0.461
2024-07-23,0.5946
2024-07-24,0.8118
2024-07-25,0.5365
2024-07-26,-0.1238
2024-07-29,-0.428
2024-07-30,-0.6882
2024-07-31,0.0646
2024-08-01,-0.2155
2024-08-02,0.2403
2024-08-05,0.3199
2024-08-06,0.7065
2024-08-07,0.7248
2024-08-08,0.4042
2024-08-09,0.1825
2024-08-12,0.1351
2024-08-13,0.1336
2024-08-14,-0.0791
2024-08-15,-0.0572
2024-08-16,0.4485
2024-08-19,-0.2416
2024-08-20,-0.0674
2024-08-21,-0.3125
2024-08-22,-0.1314
2024-08-23,0.1731
2024-08-26,0.0866
2024-08-27,0.2838
2024-08-28,-0.3066
2024-08-29,0.1481
2024-08-30,-0.0921
2024-09-02,0.1315
2024-09-03,0.1336
2024-09-04,-0.6955
2024-09-05,-0.6441
2024-09-06,-0.3203
2024-09-09,0.274
2024-09-10,0.2506
2024-09-11,0.2277
2024-09-12,-0.2872
2024-09-13,0.257
2024-09-16,0.6963
2024-09-17,0.4264
2024-09-18,0.1899
2024-09-19,-0.3718
2024-09-20,0.0419
2024-09-23,0.8358
2024-09-24,0.7166
2024-09-25,0.8091
2024-09-26,0.6481
2024-09-27,0.0933
2024-09-30,0.457
2024-10-01,-0.0962
2024-10-02,-0.1209
2024-10-03,0.0111
2024-10-04,0.2715
2024-10-07,0.2877
2024-10-08,5.7877
2024-10-09,3.5887
2024-10-10,1.9248
2024-10-11,0.768
2024-10-14,0.4793
2024-10-15,0.0745
2024-10-16,-0.3476
2024-10-17,-0.5884
2024-10-18,-0.5001
2024-10-21,-0.8558
2024-10-22,-0.9177
2024-10-23,-1.0412
2024-10-24,-0.57
2024-10-25,-0.2196
2024-10-28,0.4704
2024-10-29,-0.167
2024-10-30,-0.3041
2024-10-31,0.0913
2024-11-01,-0.0102
2024-11-04,-0.1042
2024-11-05,0.4502
2024-11-06,0.1686
2024-11-07,-0.2457
2024-11-08,-0.5425
2024-11-11,-0.2248
2024-11-12,-0.0433
2024-11-13,-0.4375
2024-11-14,-0.5581
2024-11-15,-0.1745
2024-11-18,0.0685
2024-11-19,-0.1519
2024-11-20,0.0955
2024-11-21,0.2289
2024-11-22,-0.3976
2024-11-25,-0.3322
2024-11-26,-0.0748
2024-11-27,-0.2168
2024-11-28,-0.7717
2024-11-29,-0.548
2024-12-02,-0.1031
2024-12-03,0.4122
2024-12-04,-0.4099
2024-12-05,0.5381
2024-12-06,-0.0153
2024-12-09,0.2779
2024-12-10,0.537
2024-12-11,0.6171
2024-12-12,0.4152
2024-12-13,-0.0993
2024-12-16,0.1284
2024-12-17,-0.1376
2024-12-18,-0.8393
2024-12-19,0.3451
2024-12-20,0.4195
2024-12-23,0.7971
2024-12-24,0.2048
2024-12-25,0.5631
2024-12-26,0.8148
2024-12-27,0.9553
2024-12-30,0.5668
2024-12-31,-0.0207
2025-01-01,-0.0656
2025-01-02,-0.7002
2025-01-03,-0.9307
2025-01-06,-0.5308
2025-01-07,-0.6159
2025-01-08,-0.4189
2025-01-09,-0.284
2025-01-10,0.4088
2025-01-13,0.6346
2025-01-14,0.3673
2025-01-15,0.583
2025-01-16,0.1159
2025-01-17,-0.0315
2025-01-20,0.2542
2025-01-21,-0.22
2025-01-22,-0.2157
2025-01-23,-0.5257
2025-01-24,-0.2802
2025-01-27,0.3217
