date,spread_bps
2025-01-07,-0.2557
2025-01-08,-0.3853
2025-01-09,-0.1674
2025-01-10,-0.3483
2025-01-13,0.1977
2025-01-14,-0.1589
2025-01-15,-0.8875
2025-01-16,-0.7706
2025-01-17,-1.1499
2025-01-20,-0.6809
2025-01-21,-0.0242
2025-01-22,0.2127
2025-01-23,-0.3448
2025-01-24,-0.4668
2025-01-27,0.3518
