date,anomaly_score
2024-08-23,-0.6519
2024-08-26,-0.2888
2024-08-27,-0.3563
2024-08-28,0.2372
2024-08-29,0.0424
2024-08-30,-0.2121
2024-09-02,-0.1716
2024-09-03,-0.0358
2024-09-04,-0.1859
2024-09-05,-0.1087
2024-09-06,-0.4606
2024-09-09,-0.2979
2024-09-10,0.0838
2024-09-11,0.6326
2024-09-12,0.5283
2024-09-13,0.3457
2024-09-16,0.528
2024-09-17,0.5697
2024-09-18,0.784
2024-09-19,0.7168
2024-09-20,0.323
2024-09-23,0.2391
2024-09-24,0.1733
2024-09-25,0.1773
2024-09-26,0.1487
2024-09-27,-0.1604
2024-09-30,-0.7113
2024-10-01,-0.5571
2024-10-02,-0.8864
2024-10-03,-0.4228
2024-10-04,-0.21
2024-10-07,-0.6077
2024-10-08,4.3923
2024-10-09,4.7144
2024-10-10,5.1243
2024-10-11,5.1466
2024-10-14,5.9547
2024-10-15,6.8608
2024-10-16,6.2235
2024-10-17,6.7107
2024-10-18,6.8976
2024-10-21,7.0722
2024-10-22,7.5041
2024-10-23,7.107
2024-10-24,6.7753
2024-10-25,6.3281
2024-10-28,5.919
2024-10-29,5.8401
2024-10-30,5.085
2024-10-31,4.5367
2024-11-01,4.8028
2024-11-04,4.7433
2024-11-05,4.9111
2024-11-06,3.9419
2024-11-07,3.5302
2024-11-08,3.2349
2024-11-11,3.235
2024-11-12,2.9256
2024-11-13,3.3776
2024-11-14,3.3316
2024-11-15,3.3234
2024-11-18,3.3136
2024-11-19,3.651
2024-11-20,3.397
2024-11-21,3.9412
2024-11-22,4.1515
2024-11-25,4.2078
2024-11-26,4.2076
2024-11-27,4.4467
2024-11-28,4.9322
2024-11-29,5.3803
2024-12-02,5.5413
2024-12-03,5.9519
2024-12-04,5.9814
2024-12-05,6.5777
2024-12-06,6.5315
2024-12-09,5.4613
2024-12-10,6.1029
2024-12-11,6.1263
2024-12-12,5.5102
2024-12-13,5.3835
2024-12-16,4.9147
2024-12-17,5.9402
2024-12-18,6.1593
2024-12-19,5.3442
2024-12-20,5.5905
2024-12-23,5.3632
2024-12-24,6.2948
2024-12-25,5.737
2024-12-26,4.5848
2024-12-27,4.5948
2024-12-30,4.3978
2024-12-31,4.1675
2025-01-01,3.0761
2025-01-02,3.2741
2025-01-03,4.0944
2025-01-06,3.1194
2025-01-07,3.6894
2025-01-08,3.3866
2025-01-09,4.5442
2025-01-10,4.7395
2025-01-13,4.6218
2025-01-14,5.1514
2025-01-15,5.3887
2025-01-16,5.0655
2025-01-17,5.3953
2025-01-20,5.113
2025-01-21,4.1931
2025-01-22,5.188
2025-01-23,4.9872
2025-01-24,4.6578
2025-01-27,4.8039
