date,sales_index
2024-10-22,-0.3405
2024-10-23,-0.1741
2024-10-24,-0.3047
2024-10-25,-0.1845
2024-10-28,-0.3273
2024-10-29,0.6543
2024-10-30,0.8261
2024-10-31,0.5517
2024-11-01,0.2268
2024-11-04,0.9784
2024-11-05,0.5694
2024-11-06,0.2215
2024-11-07,0.2209
2024-11-08,0.2218
2024-11-11,0.6639
2024-11-12,0.2912
2024-11-13,0.9708
2024-11-14,0.084
2024-11-15,0.3154
2024-11-18,-0.2588
2024-11-19,0.6104
2024-11-20,0.1424
2024-11-21,0.0408
2024-11-22,0.3881
2024-11-25,0.6768
2024-11-26,-0.1402
2024-11-27,-0.2016
2024-11-28,-0.6487
2024-11-29,-0.237
2024-12-02,-0.1472
2024-12-03,-0.2058
2024-12-04,-0.3664
2024-12-05,-0.3192
2024-12-06,-0.4422
2024-12-09,0.0126
2024-12-10,0.612
2024-12-11,-0.4969
2024-12-12,-0.27
2024-12-13,-0.2888
2024-12-16,0.067
2024-12-17,-0.3506
2024-12-18,-0.2163
2024-12-19,-0.5132
2024-12-20,0.0477
2024-12-23,0.0612
2024-12-24,-0.0371
2024-12-25,0.1314
2024-12-26,-0.0395
2024-12-27,-0.6393
2024-12-30,-0.0494
2024-12-31,0.0931
2025-01-01,-0.0197
2025-01-02,0.3851
2025-01-03,0.6607
2025-01-06,-0.1396
2025-01-07,-0.3753
2025-01-08,0.4501
2025-01-09,0.7701
2025-01-10,0.0512
2025-01-13,-0.4493
2025-01-14,-0.4572
2025-01-15,-0.405
2025-01-16,-0.8159
2025-01-17,-0.3547
2025-01-20,-0.6717
2025-01-21,-0.7864
2025-01-22,0.0126
2025-01-23,-0.2676
2025-01-24,-0.149
2025-01-27,0.1846
